순위,상품명,원가,판매가
1,25년 햅쌀 새청무 상등급 10kg,"29,900","28,900"
2,(타임딜) 칠성사이다 210ml x 30캔,,"18,000"
3,(뚜레쥬르) 2026 업비트 위시 케이크(오프라인 한정),"30,000","21,000"
4,(행사상품)간척지쌀 20KG,"59,900","52,720"
5,토레타 500ml 24페트,"27,900","18,140"
6,정화네농원 상큼한 제주 감귤 10kg 대박특가 상품하자시 100% 처리,"10,500","9,970"
7,사조 올리브유 900mL,"17,900","15,220"
8,(신선집중) 통영 장보고닷컴 굴 생굴 2kg (1kgx2팩) 싱싱 지퍼백 포장 / 당일 채취 세척 발송,,"18,900"
9,(특가) 블루래빗 세계명작팝업북세트 - 10권,"44,000","29,500"
10,(개당 80원대) KF94 2D 새부리형 마스크 100매 소형 중형 대형 AD 덴탈 여름 일회용 컬러마스크 모음전,"20,200","8,990"
11,아스토니쉬 01-10 단하루/ 골라담기 곰팡이 제거제 1+1 외 BEST 아스토니쉬2p 욕실 주방 청소 세정제 클리너,"20,400","16,330"
12,(최대 15%적립)동원 라이트스탠다드 150G 8캔 + DHA 150G 4캔,"37,000","23,800"
13,77g 베베앙 고평량 로얄 플러스 물티슈 70매 20팩 캡형,"24,200","16,950"
14,마시는 뉴프로틴 190ml x 16팩 1박스 단백질 보충 음료,"24,900","16,400"
15,1+1 국산 슬림 플러그 개별 절전 5구 멀티탭 안전 접지 과부하차단 하나 가격에 두개를 살수 있는 기회,"47,000","14,220"
16,케라시스 극손상 클리닉 세럼 70ml 2개 / 어드밴스드 극손상 클리닉,"15,000","9,450"
17,아몬드 브리즈 언스위트 190ml 24팩,,"21,000"
18,(3일특가)휴홈 무표백 순수 대나무 팝업 티슈 3겹 160매 12개,"13,800","6,280"
19,구달 청귤 비타C 잡티케어세럼 알파 더블기획세트(세럼 30ml 2개+크림 40ml 2개+아이크림 15ml 1개),"49,000","26,900"
20,최대 69%off 말랑핏 극세사 빅쿠션/방석 시리즈 외 BEST베개/침구 모음전 2026 겨울 첫 정기세일,"28,900","14,190"
21,경성명과 수제 행사 (롤+녹차맛/ 롤+딸기맛/ 롤+모카맛) 3가지 중 1가지 선택,"13,800","11,870"
22,블랙야크키즈 25신상품한겨울 헤비다운 프로즌야상다운(정상가격329000원),"159,000","106,340"
23,(최대 15%적립) 실크테라피 퍼펙트 페어 프리미엄 에센스 150ml + 추가 60ml 특별증정,"29,900","17,900"
24,정성곳간 강순의 도가니탕 800g 10팩,"48,410","38,730"
25,(신선집중) 본가명인 국내산 배추김치 포기김치 10kg 전재료 100% 국산 해남배추 당일생산 한정수량,"34,400","30,970"
26,(20%+5%) 밀크마일 새해맞이 빡세일 겨울 특가 모음 무료배송/디즈니 스누피 콜라보,"51,300","11,550"
27,1+1 살림백서 오브제 차량용 디퓨저 82ml 자동차 방향제 명품 고급 대용량,"22,400","8,960"
28,(최대15%적립)몽쉘 생크림 408g (카카오/오리지널) 2+2곽,"22,300","15,170"
29,무료반품+최대 65%할인 에잇세컨즈 26년 1월 새해 맞이 마지막 BIG SALE 인기 아우터/가디건/니트,"45,000","12,520"
30,온더바디 살구맛사지 비누 100g 4개입 4세트 총 16개,"24,100","14,900"
31,메디패치 33매 x 3개 / 마데카솔 연고 2개 + 스팟패치 1개 / 야외활동 필수 상처케어,"32,900","8,500"
32,연시행사 1+1 (신선집중) 황금한우 우족1kg+사골1kg+잡뼈1kg 총6키로,"34,900","22,000"
33,신라면 10입 + 너구리 5입 + 짜파게티 5입 (총 20봉),"27,400","15,900"
34,한라산농장 귤 10KG 중대과 L~2L 폭싹쎄일 100박스한정판 고당도,"10,800","10,370"
35,((몽땅균일가 클리어런스)) ((2장이상 구매시 무료배송)) 맨투맨/팬츠/자켓/블라우스/니트/가디건,"21,900","6,250"
36,르까프x머렐 外/무료배송/최대~94%할인/최대30%쿠폰/신년맞이 베스트 의류 외 모음 르까프 공식밴더,"98,900","20,930"
37,(4%쿠폰+무배) 레코브/아날도 외 신년SALE F/W 최대 91%할인 아우터/맨투맨/니트/가디건/팬츠 외,"25,000","12,000"
38,매일 유기농 멸균우유 200ml 48팩/우유/음료,"51,900","41,830"
39,씨투엠/ 수학독해 단계별 세트 선택구매,"30,000","21,000"
40,스파클생수 500ml 100병 (도착보장/무라벨),"20,200","16,370"
41,(최대15%적립)롯데제과 롯데 비스킷 4종 총 5세트,"20,300","13,610"
42,스파클생수 2L 30병 (도착보장 / 무라벨),"16,900","13,700"
43,(무료반품)(25%쿠폰무배) 시즌 신상 스키보드복 균일가 행사 방한복 발열내복 스키바지/보드자켓/패딩바지,"85,000","19,350"
44,(20%+4%쿠폰)1+1+1+1+1 영하 한파 칼바람 발따뜻 양모 기모 불깔창/ 추가할인쿠폰 단하루만 새해맞이 초특가,"17,260","3,950"
45,(2개세트) 가슴 작아보이는 말라 미니마이저 브라 처진가슴 보정 부유방 커버 노와이어,"41,260","11,890"
46,폴햄키즈 신축성좋은 핫스킨 세트 PKF4UI3910,"12,900","8,870"
47,도드람한돈 냉장 칼집 삼겹살/칼집 목심 반반팩 1kg 외 29종 (1/10일 한정수량 플래시딜) 2팩사면 무료배송,"20,900","19,440"
48,김하진 궁중 김하진의 궁중 뼈없는 갈비탕 800g x 10팩,"59,900","40,740"
49,마인트리 루테인지아잔틴 6박스 1/10특가 (최대함량),"42,230","24,800"
